parameterCategory  parameterNumber    typeOfLevel        level              stepType           name               shortName          parameterName      parameterUnits     paramId            
0                  0                  heightAboveGround  2                  instant            2 metre temperature  2t                 Temperature        K                  167               
0                  0                  heightAboveGround  2                  max                2 metre temperature  2t                 Temperature        K                  167               
0                  0                  heightAboveGround  2                  min                2 metre temperature  2t                 Temperature        K                  167               
0                  0                  heightAboveGround  20                 instant            Temperature        t                  Temperature        K                  130               
0                  0                  heightAboveGround  50                 instant            Temperature        t                  Temperature        K                  130               
0                  0                  heightAboveGround  100                instant            Temperature        t                  Temperature        K                  130               
0                  0                  heightAboveGround  250                instant            Temperature        t                  Temperature        K                  130               
0                  0                  heightAboveGround  500                instant            Temperature        t                  Temperature        K                  130               
0                  0                  heightAboveGround  750                instant            Temperature        t                  Temperature        K                  130               
0                  0                  heightAboveGround  1000               instant            Temperature        t                  Temperature        K                  130               
0                  0                  heightAboveGround  1250               instant            Temperature        t                  Temperature        K                  130               
0                  0                  heightAboveGround  1500               instant            Temperature        t                  Temperature        K                  130               
0                  0                  heightAboveGround  2000               instant            Temperature        t                  Temperature        K                  130               
0                  0                  heightAboveGround  2500               instant            Temperature        t                  Temperature        K                  130               
0                  0                  heightAboveGround  3000               instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      100                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      150                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      175                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      200                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      225                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      250                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      275                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      300                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      350                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      400                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      500                instant            Temperature        t                  Temperature        K                  130               
0                  0                  isobaricInhPa      600                instant            Temperature        t                  Temperature        K                  130               
